Date,Price
01-Jan-2020,2.02
01-Dec-2019,2.22
01-Nov-2019,2.65
01-Oct-2019,2.33
01-Sep-2019,2.56
01-Aug-2019,2.22
01-Jul-2019,2.37
01-Jun-2019,2.4
01-May-2019,2.64
01-Apr-2019,2.65
01-Mar-2019,2.95
01-Feb-2019,2.69
01-Jan-2019,3.11
01-Dec-2018,4.04
01-Nov-2018,4.09
01-Oct-2018,3.28
01-Sep-2018,3
01-Aug-2018,2.96
01-Jul-2018,2.83
01-Jun-2018,2.97
01-May-2018,2.8
01-Apr-2018,2.8
01-Mar-2018,2.69
01-Feb-2018,2.67
01-Jan-2018,3.87
01-Dec-2017,2.82
01-Nov-2017,3.01
01-Oct-2017,2.88
01-Sep-2017,2.98
01-Aug-2017,2.9
01-Jul-2017,2.98
01-Jun-2017,2.98
01-May-2017,3.15
01-Apr-2017,3.1
01-Mar-2017,2.88
01-Feb-2017,2.85
01-Jan-2017,3.3
01-Dec-2016,3.59
01-Nov-2016,2.55
01-Oct-2016,2.98
01-Sep-2016,2.99
01-Aug-2016,2.82
01-Jul-2016,2.82
01-Jun-2016,2.59
01-May-2016,1.92
01-Apr-2016,1.92
01-Mar-2016,1.73
01-Feb-2016,1.99
01-Jan-2016,2.28
01-Dec-2015,1.93
01-Nov-2015,2.09
01-Oct-2015,2.34
01-Sep-2015,2.66
01-Aug-2015,2.77
01-Jul-2015,2.84
01-Jun-2015,2.78
01-May-2015,2.85
01-Apr-2015,2.61
01-Mar-2015,2.83
01-Feb-2015,2.87
01-Jan-2015,2.99
01-Dec-2014,3.48
01-Nov-2014,4.12
01-Oct-2014,3.78
01-Sep-2014,3.92
01-Aug-2014,3.91
01-Jul-2014,4.05
01-Jun-2014,4.59
01-May-2014,4.58
01-Apr-2014,4.66
01-Mar-2014,4.9
01-Feb-2014,6
01-Jan-2014,4.71
01-Dec-2013,4.24
01-Nov-2013,3.64
01-Oct-2013,3.68
01-Sep-2013,3.62
01-Aug-2013,3.43
01-Jul-2013,3.62
01-Jun-2013,3.83
01-May-2013,4.04
01-Apr-2013,4.17
01-Mar-2013,3.81
01-Feb-2013,3.33
01-Jan-2013,3.33
01-Dec-2012,3.34
01-Nov-2012,3.54
01-Oct-2012,3.32
01-Sep-2012,2.85
01-Aug-2012,2.84
01-Jul-2012,2.95
01-Jun-2012,2.46
01-May-2012,2.43
01-Apr-2012,1.95
01-Mar-2012,2.17
01-Feb-2012,2.51
01-Jan-2012,2.67
01-Dec-2011,3.17
01-Nov-2011,3.24
01-Oct-2011,3.57
01-Sep-2011,3.9
01-Aug-2011,4.06
01-Jul-2011,4.42
01-Jun-2011,4.54
01-May-2011,4.31
01-Apr-2011,4.24
01-Mar-2011,3.97
01-Feb-2011,4.09
01-Jan-2011,4.49
